LEAID,LEA_NAME,FTE_TEACHERS_FIN,TEACH_AMOUNT,AVG_TEACH_SALARY,Incomplete,SCHID,SCH_NAME,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP 
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,37,2614627,70666,,1,MURCH ES,4810 36TH ST  NW,WASHINGTON,DC,20008
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34,2544345,74834,,96,EATON ES,3301 LOWELL ST  NW,WASHINGTON,DC,20008
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,62,4667390,75280,,160,OYSTER-ADAMS BILINGUAL EC,2801 Calvert Street  NW,WASHINGTON,DC,20008
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,18,1207590,67088,,183,HEARST ES,3950 37TH ST  NW,WASHINGTON,DC,20008
Subtotal,,,," $287,868.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9.05,719421,79494,,27,ROSS ES,1730 R ST  NW,WASHINGTON,DC,20009
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,30.5,2351732,77106,,32,MARIE REED ES,2201 18TH ST NW,WASHINGTON,DC,20009
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,47.62,4209962,88406,,82,CARDOZO SHS @ MEYER,2501 11th ST  NW,WASHINGTON,DC,20009
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,33.5,2247204,67081,,100,H.D. COOKE ES,2525 17th ST NW,WASHINGTON,DC,20009
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,22,1813701,82441,,171,GARRISON ES,1200 S ST  NW,WASHINGTON,DC,20009
1100003,BOOKER T. WASHINGTON PCS,24,1392000,58000,,217,BOOKER T  WASHINGTON PCS,1346 FLORIDA AVENUE NW,WASHINGTON,DC,20009
1100015,MERIDIAN PCS,26,1320042,50771,,229,MERIDIAN PCS,1328 FORIDA AVENUE NW,WASHINGTON,DC,20009
1100017,THE NEXT STEP PCS,11,410432,37312,,231,NEXT STEP PCS,3047 15th Street NW,WASHINGTON,DC,20009
1100035,CAPITAL CITY PCS,32.8,1433839,43715,,253,CAPITAL CITY LOWER PCS,3047 15TH STREET NW,WASHINGTON,DC,20009
1100042,D.C. BILINGUAL PCS,28,1745320,62333,,273,D C  BILINGUAL PCS,1420 COLUMBIA ROAD NW,WASHINGTON,DC,20009
1100016,EDUCATION STRENGHTENS FAMILIES PCS,7,254967,0,,333,EDUCATION STRENGTHENS FAMILIES ESF PCS,2333 ONTARIO ROAD NW,WASHINGTON,DC,20009
1100054,APPLETREE EARLY LEARNING PCS,9,418483,46498,,415,APPLETREE EARLY LEARNING PCS COLUMBIA HEIGHTS,2750 14TH STREET NW,WASHINGTON,DC,20009
Subtotal,,,," $693,157.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34,3020638,88842,,33,RAYMOND EC,915 SPRING RD NW,WASHINGTON,DC,20010
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,43,3510851,81648,,74,TUBMAN ES,3101 13TH ST  NW,WASHINGTON,DC,20010
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,39,2705576,69374,,110,BRUCE-MONROE ES @ PARK VIEW,3560 WARDER ST NW,WASHINGTON,DC,20010
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,39,2863813,73431,,120,BANCROFT ES,1755 NEWTON ST  NW,WASHINGTON,DC,20010
1100009,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,28,1443038,51537,,223,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,3220 16TH STREET NW,WASHINGTON,DC,20010
1100043,E.L. HAYNES PCS,41,2246472,54792,,274,E L  HAYNES PCS GEORGIA AVENUE CAMPUS,3600 Georgia Avenue NW,WASHINGTON,DC,20010
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,92.5,6222848,67274,,396,COLUMBIA HEIGHTS EC,3101 16TH ST  NW,WASHINGTON,DC,20010
1100035,CAPITAL CITY PCS,44.7,2306189,51593,,414,CAPITAL CITY UPPER PCS,3230 16TH STREET NW,WASHINGTON,DC,20010
9999035,Mundo Verde Bilingual Public Charter School,7,358083,51155,,99999,Mundo Verde Bilingual Public Charter School,3220 16th Street NW.,Washington,DC,20010
Subtotal,,,," $589,646.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,48,3519341,73320,,8,ROOSEVELT SHS,4301 13TH ST NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,28.5,2312436,81138,,42,LASALLE-BACKUS EC,501 RIGGS ROAD NE,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29.5,2499192,84718,,65,WHITTIER EC,6201 5TH ST  NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19.5,1507925,77329,,67,WEST EC,1338 FARRAGUT ST  NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,36.25,2393339,66023,,75,TRUESDELL EC,800 INGRAHAM ST  NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,42,3073390,73176,,81,COOLIDGE SHS,6315 5TH ST  NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,20.25,1851978,91456,,89,SHARPE HEALTH SCHOOL,4300 13TH ST NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,17,1612441,94849,,90,MAMIE D. LEE SCHOOL,100 GALLATIN ST  NE,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,49,3981010,81245,,112,BRIGHTWOOD EC,1300 NICHOLSON ST NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,39,2863813,73431,,119,BARNARD ES (LINCOLN HILL),430 DECATUR ST NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,32,2093590,65425,,125,POWELL ES,1350 UPSHUR ST NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,20.75,1470332,70859,,141,MACFARLAND MS,4400 IOWA AVE NW,WASHINGTON,DC,20011
1100007,COMMUNITY ACADEMY PCS,40,1964010,49100,,221,COMMUNITY ACADEMY PCS - AMOS I CAMPUS,"1300 Allison Street, NW",WASHINGTON,DC,20011
1100010,HOSPITALITY PCS,17,1023359,60198,,224,HOSPITALITY PCS,4301 13TH STREET NW 3RD FLOOR,WASHINGTON,DC,20011
1100032,LATIN AMERICAN MONTESSORI BILINGUAL PUBLIC CHARTER SCHOOL (LAMB),22,1044136,47461,,247,LATIN AMERICAN MONTESSORI BILINGUAL PUBLIC CHARTER SCHOOL (LAMB),1375 MISSOURI AVENUE NW,WASHINGTON,DC,20011
1100039,PAUL JHS PCS,46,2189297,47593,,257,PAUL JHS PCS,5800 8TH STREET NW,WASHINGTON,DC,20011
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,11.64,587210,50448,,264,ROOSEVELT STAY,4301 13TH ST  NW,WASHINGTON,DC,20011
1100044,MARY MCLEOD BETHUNE  PCS,33,1483181,44945,,275,MARY MCLEOD BETHUNE DAY ACADEMY PCS SLOWE CAMPUS,5413 16TH STREET NW,WASHINGTON,DC,20011
1100055,BRIDGES PCS,18,659470,36637,,305,BRIDGES PCS,1250 TAYLOR STREET NW,WASHINGTON,DC,20011
1100019,WASHINGTON LATIN PCS,28,1074239,38366,,324,WASHINGTON LATIN PCS   MIDDLE SCHOOL,41115 16TH ST NW,WASHINGTON,DC,20011
1100007,COMMUNITY ACADEMY PCS,10,473968,47397,,353,COMMUNITY ACADEMY PCS - AMOS II CAMPUS,"1351 Nicholson Street, NW",WASHINGTON,DC,20011
1100007,COMMUNITY ACADEMY PCS,21,1052940,50140,,361,COMMUNITY ACADEMY PCS - RAND CAMPUS,"33 Riggs Road, NE",WASHINGTON,DC,20011
1100007,COMMUNITY ACADEMY PCS,0,0,0,,380,COMMUNITY ACADEMY PCS - ONLINE,"1351 Nicholson Street, NW",WASHINGTON,DC,20011
1100051,HOPE COMMUNITY ACADEMY PCS,28,1427670,50988,,386,HOPE COMMUNITY PCS TOLSON CAMPUS,6200 KANSAS AVE NE,WASHINGTON,DC,20011
1100073,CENTER CITY PCS,22,1733083,78777,,395,CENTER CITY PETWORTH CAMPUS PCS,510 WEBSTER STREET NW,WASHINGTON,DC,20011
1100073,CENTER CITY PCS,26,1502324,57782,,400,CENTER CITY BRIGHTWOOD CAMPUS PCS,6008 GEORGIA AVENUE NW,WASHINGTON,DC,20011
1100019,WASHINGTON LATIN PCS,24,1316184,54841,,423,WASHINGTON LATIN PCS HIGH SCHOOL,4715 16TH ST NW,WASHINGTON,DC,20011
1100043,E.L. HAYNES PCS,57,3123149,54792,,433,E L  HAYNES PCS KANSAS AVENUE CAMPUS,4501 KANSAS AVENUE NW,WASHINGTON,DC,20011
Subtotal,,,," $1,702,434.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,26.25,2096039,79849,,11,TAKOMA EC,7010 PINEY BRANCH RD  NW,WASHINGTON,DC,20012
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,25.5,2022483,79313,,30,SHEPHERD ES,7800 14TH ST  NW,WASHINGTON,DC,20012
Subtotal,,,," $159,162.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,47,3876177,82472,,45,LAFAYETTE ES,5701 BROAD BRANCH RD  NW,WASHINGTON,DC,20015
Subtotal,,,," $82,472.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21.5,1602809,74549,,35,MANN ES,4430 NEWARK ST NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,111.25,8487890,76296,,133,"WILSON, WOODROW HS",3950 CHESAPEAKE ST  NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,65.5,4632278,70722,,138,DEAL MS,3815 FORT DR NW,WASHINGTON,DC,20016
