LEA_STATE,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,FTE_ABSENT,Incomplete
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,144,"JOHNSON, JOHN HAYDEN MS",1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,145,JEFFERSON MS,1.10E+11,,5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,149,FRANCIS-STEVENS EC,1.10E+11,,12,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,151,ELIOT-HINE MS,1.10E+11,,8.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,152,BROWNE EC,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,153,BENJAMIN BANNEKER SHS,1.10E+11,,15,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,156,PEABODY ES (CAPITOL HILL CLUSTER),1.10E+11,,8,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,157,PAYNE ES,1.10E+11,,6,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,158,PATTERSON ES,1.10E+11,,16,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,160,OYSTER-ADAMS BILINGUAL EC,1.10E+11,,31,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,161,ORR ES,1.10E+11,,7,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,163,NALLE ES,1.10E+11,,10,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,164,NOYES EC,1.10E+11,,18,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,165,GARFIELD ES,1.10E+11,,8,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,171,GARRISON ES,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,173,KIMBALL ES,1.10E+11,,10,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,174,KEY ES,1.10E+11,,15,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,176,KETCHAM ES,1.10E+11,,7,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,179,JANNEY ES,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,180,HYDE-ADDISON ES,1.10E+11,,10.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,181,HOUSTON ES,1.10E+11,,9,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,182,HENDLEY ES,1.10E+11,,15,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,183,HEARST ES,1.10E+11,,10,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,185,C.W. HARRIS ES,1.10E+11,,6,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,186,HARDY MS,1.10E+11,,16,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,188,MARSHALL ES,1.10E+11,,6.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,191,STUART-HOBSON MS,1.10E+11,,11,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,198,LUKE C. MOORE HS,1.10E+11,,11,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,200,SPINGARN STAY,1.10E+11,,2.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,207,BALLOU STAY,1.10E+11,,5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,264,ROOSEVELT STAY,1.10E+11,,5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,267,MCKINLEY TECHNOLOGY HS,1.10E+11,,20,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,272,KELLY MILLER MS,1.10E+11,,11,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,296,YOUTH SERVICES CENTER,1.10E+11,Z,8,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,320,SCHOOL WINTHIN SCHOOL AT PEABODY,1.10E+11,,3,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,385,INCARCERATED YOUTH PROGRAM,1.10E+11,X,4,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,396,COLUMBIA HEIGHTS EC,1.10E+11,,41,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,397,WASHINGTON METROPOLITAN HS,1.10E+11,,4,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,407,PHELPS ACE HS,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,418,CHOICE ACADEMY MS/SHS,1.10E+11,,9,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,99993,CAPITOL HILL MONTESSORI SCHOOL @ LOGAN,1.10E+11,,6.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,99994,LANGLEY EC,1.10E+11,,16,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,99995,KENILWORTH ES,1.10E+11,,6,
DC,1100031,KIPP DC,246,KIPP DC KEY ACADEMY PCS,1.10E+11,,0,
DC,1100031,KIPP DC,375,KIPP DC LEAP ACADEMY PCS,1.10E+11,,1,
DC,1100031,KIPP DC,376,KIPP DC WILL ACADEMY PCS,1.10E+11,,1,
DC,1100031,KIPP DC,381,KIPP DC AIM PCS ACADEMY PCS,1.10E+11,,0,
DC,1100031,KIPP DC,419,KIPP DC PROMISE PCS,1.10E+11,,1,
DC,1100031,KIPP DC,421,KIPP DC COLLEGE PREP PCS,1.10E+11,,1,
DC,1100031,KIPP DC,427,KIPP DC DISCOVER PCS,1.10E+11,,1,
DC,1100031,KIPP DC,432,KIPP DC GROW ACADEMY PCS,1.10E+11,,0,
DC,1100031,KIPP DC,99999,KIPP DC HEIGHTS ACADEMY,1.10E+11,,0,
DC,1100032,LATIN AMERICAN MONTESSORI BILINGUAL PUBLIC CHARTER SCHOOL (LAMB),247,LATIN AMERICAN MONTESSORI BILINGUAL PUBLIC CHARTER SCHOOL (LAMB),1.10E+11,,0,
DC,1100034,THURGOOD MARSHALL ACADEMY PCS,249,THURGOOD MARSHALL ACADEMY PCS,1.10E+11,,2,
DC,1100035,CAPITAL CITY PCS,253,CAPITAL CITY LOWER PCS,1.10E+11,,4,
DC,1100035,CAPITAL CITY PCS,414,CAPITAL CITY UPPER PCS,1.10E+11,,1.5,
DC,1100039,PAUL JHS PCS,257,PAUL JHS PCS,1.10E+11,,0,
DC,1100042,D.C. BILINGUAL PCS,273,D C  BILINGUAL PCS,1.10E+11,,0,
DC,1100043,E.L. HAYNES PCS,274,E L  HAYNES PCS GEORGIA AVENUE CAMPUS,1.10E+11,,0,
DC,1100043,E.L. HAYNES PCS,433,E L  HAYNES PCS KANSAS AVENUE CAMPUS,1.10E+11,,0,
DC,1100044,MARY MCLEOD BETHUNE  PCS,275,MARY MCLEOD BETHUNE DAY ACADEMY PCS SLOWE CAMPUS,1.10E+11,,0,
DC,1100045,TWO RIVERS PCS,279,TWO RIVERS PCS ES,1.10E+11,,5,
DC,1100045,TWO RIVERS PCS,426,TWO RIVERS PCS MIDDLE SCHOOL,1.10E+11,,0,
DC,1100048,D.C. PREPARATORY ACADEMY PCS,277,D C  PREPARATORY EDGEWOOD MIDDLE CAMPUS PCS,1.10E+11,,0,
DC,1100048,D.C. PREPARATORY ACADEMY PCS,387,D C  PREPARATORY BENNING CAMPUS PCS,1.10E+11,,0,
DC,1100048,D.C. PREPARATORY ACADEMY PCS,388,D C  PREPARATORY EDGEWOOD ELEMENTARY CAMPUS PCS,1.10E+11,,1,
DC,1100049,EAGLE ACADEMY PCS,278,EAGLE ACADEMY PCS  M STREET CAMPUS,1.10E+11,,6,
DC,1100049,EAGLE ACADEMY PCS,434,EAGLE ACADEMY PCS NEW JERSEY AVENUE CAMPUS,1.10E+11,,0,
DC,1100051,HOPE COMMUNITY ACADEMY PCS,301,HOPE COMMUNITY PCS LAMOND CAMPUS,1.10E+11,,0,
DC,1100051,HOPE COMMUNITY ACADEMY PCS,386,HOPE COMMUNITY PCS TOLSON CAMPUS,1.10E+11,,2,
DC,1100053,WILLIAM E. DOAR JR PCS,303,WILLIAM E  DOAR JR WEDJ EDGEWOOD ELEMENTARY PCS,1.10E+11,,0,
DC,1100053,WILLIAM E. DOAR JR PCS,430,WILLIAM E  DOAR JR WEDJ EDGEWOOD MIDDLE AND UPPER,1.10E+11,,0,
DC,1100054,APPLETREE EARLY LEARNING PCS,304,APPLETREE EARLY LEARNING PCS RIVERSIDE,1.10E+11,,3,
DC,1100054,APPLETREE EARLY LEARNING PCS,413,APPLETREE EARLY LEARNING PCS AMIDON,1.10E+11,,3,
DC,1100054,APPLETREE EARLY LEARNING PCS,415,APPLETREE EARLY LEARNING PCS COLUMBIA HEIGHTS,1.10E+11,,9,
